Lokasi Dialog,Nama Dialog,Nama Karakter,Avatar Karakter,Kalimat 1,Kalimat 2,Kalimat 3,Kalimat 4
Kamar,Tempat Tidur,Tempat Tidur,,Sebuah tempat tidur biru yang di tata rapi.,,,
Kamar,Meja Belajar,Meja Belajar,,Sebuah Meja Belajar Lengkap dengan berbagai macam buku dan Sebuah Komputer.,Ingin Belajar Apa?,,
Kamar,Lemari,Lemari,,sebuah lemari pakaian tua tempat kamu menyimpan baju,,,
Kamar,Kloset,Kloset,,sebuah ruangan kecil untuk menyimpan barang-barang lama.,,,
Lorong Rumah,Pintu,Pintu Gudang,,(terkunci),,,
Lorong Rumah,Bunga,Bunga,,tanaman bunga yang tumbuh subur.... Baunya harum,,,
Lorong Rumah,Foto Kucing,Foto,,Foto Kucing Peliharaanmu,,,
Ruang Tamu,Lampu,,,Ini adalah lampu,,,
Ruang Tamu,Meja Ruang tamu,,,"meja ruang tamu, tamu yang datang biasanya mencari ayah",,,
Ruang Tamu,Televisi,,,"Iklan mi instan sedang ditayangkan, malah jadi lapar nih",,,
Ruang Tamu,foto keluarga,Foto Keluarga,,"fotomu bersama ayah, ibu dan adikmu terpajang di rak. ",,,
Ruang Tamu,karpet,,,"badanku pegal - pegal dan banyak pikiran, apa aku harus melakukan agar mengurangi beban pikiranku",,,
Ruang Tamu,Ayah,Ayah,,"[player], bagaimana harimu di sekolah?",,,
Dapur,Ibu,Ibu,,"[player], bagaimana nilaimu di sekolah? Teruslah belajar dan tingkatkan prestasimu",,,
Dapur,Meja Makan,Meja Makan,,ada dua buah roti di atas meja,,,
Dapur,Tempat Cuci Piring,Kabinet Dapur,,"kabinet dapur ini memiliki wastafel unntuk mencuci piiiring, sebuah mikrowave, lemari tempat menyimpan bumbu dan peralatan dapur, serta sebuah rak di atasnya",,,
Dapur,Kulkas,Kulkas,,"bebrapa bahan makanan di kulkas sepertinya akan habis, mungkin ibu akan ke pasar untuk membelinya.",,,
Depan Rumah,Ibu,Ibu,,lihat kebun ibu sangat subur kan :) ,,,
Depan Rumah,Tanda Kebun,Tanda,,“Kebun Ibu”,,,
Perumahan,Budi,Budi,,"hai [player] hari ini cuacanya sangat bagus, apa kau ingin jalan-jalan dengan ku atau mengobrol disini?",,,
Perumahan,Julia,,,"hai [player] hari ini cuacanya sangat bagus, apa kau ingin jalan-jalan dengan ku atau mengobrol disini?",,,
Perumahan,Tanda Rumah Biru,Tanda,,“Rumah Budi”,,,
Perumahan,Tanda Rumah Kuning,Tanda,,“Rumah Julia”,,,
Perumahan,Tanda Rumah Pink,Tanda,,“Rumah bu Rahmi”,,,
Perumahan,Tanda Rumah Merah,Tanda,,“Rumah pak Rio”,,,
Perumahan,Pintu Rumah Biru,Rumah Budi,,"terkunci, munkin budi tidak ada di rumah",,,
Perumahan,Pintu Rumah Kuning,Rumah Julia,,"terkunci, munkin julia tidak ada di rumah",,,
Perumahan,Pintu Rumah Pink,Rumah bu Rahmi,,"terkunci, munkin bu rahmi tidak ada di rumah",,,
Perumahan,Pintu Rumah Merah,Rumah pak Rio,,"terkunci, munkin pak rio tidak ada di rumah",,,
Depan Sekolah,Npc Figuran Cowok,Adik Kelas,,Hallo,,,
Depan Sekolah,Npc Figuran Cewek,Adik Kelas,,Hai,,,
